project_id,title,description,domain,priority,required_team_size_min,required_team_size_max,required_team_size_target,required_roles,required_skills,tech_requirements,duration_weeks,target_start_date,status,current_staffing_count,current_staffed_ids
P1010,Adaptive Storage Layer Rewrite,A high-impact Infra effort focused on shipping production-grade infrastructure.,Infra,3,7,10,10,"[{""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 10}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 1.2}, {""skill"": ""Kubernetes"", ""min_proficiency"": 3, ""weight"": 0.61}, {""skill"": ""SRE/Observability"", ""min_proficiency"": 3, ""weight"": 0.7}, {""skill"": ""Go"", ""min_proficiency"": 3, ""weight"": 1.2}]","[""C++"", ""Databases"", ""Product Sense""]",51,2026-08-20,completed,3,[]
P1011,Low-Latency DevTools Backend,A high-impact Chrome effort focused on shipping production-grade infrastructure.,Chrome,2,7,11,11,"[{""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 11}]","[{""skill"": ""C++"", ""min_proficiency"": 3, ""weight"": 0.63}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 4, ""weight"": 0.85}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 0.65}]","[""Go"", ""Python"", ""Product Sense"", ""Distributed Systems""]",20,2026-07-14,completed,11,[]
P1012,Cross-Platform Extension Platform Rewrite,A high-impact Chrome effort focused on shipping production-grade infrastructure.,Chrome,4,3,7,3,"[{""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 3}]","[{""skill"": ""C++"", ""min_proficiency"": 4, ""weight"": 0.73}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 4, ""weight"": 0.79}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 1.18}, {""skill"": ""Frontend"", ""min_proficiency"": 4, ""weight"": 0.99}, {""skill"": ""Security"", ""min_proficiency"": 3, ""weight"": 1.19}]","[""Cloud (GCP/AWS)"", ""Python"", ""C++""]",47,2026-07-09,completed,3,[]
P1013,Distributed Battery Optimizer v2,A high-impact Android effort focused on shipping production-grade infrastructure.,Android,1,7,11,8,"[{""role"": ""Tech Lead"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 7}]","[{""skill"": ""Android"", ""min_proficiency"": 3, ""weight"": 0.89}, {""skill"": ""Java"", ""min_proficiency"": 4, ""weight"": 0.92}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 3, ""weight"": 1.16}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 1.05}, {""skill"": ""Frontend"", ""min_proficiency"": 3, ""weight"": 1.1}]","[""Security""]",33,2026-10-14,completed,5,[]
P1014,Petabyte-Scale Wallet Service,A high-impact Payments effort focused on shipping production-grade infrastructure.,Payments,3,8,11,9,"[{""role"": ""Project Manager"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 8}]","[{""skill"": ""Security"", ""min_proficiency"": 4, ""weight"": 1.1}, {""skill"": ""Databases"", ""min_proficiency"": 3, ""weight"": 0.95}, {""skill"": ""Backend APIs"", ""min_proficiency"": 3, ""weight"": 0.82}, {""skill"": ""Java"", ""min_proficiency"": 3, ""weight"": 0.85}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 1.08}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 4, ""weight"": 0.9}]","[""Data Engineering"", ""TensorFlow/PyTorch""]",25,2026-10-09,completed,5,[]
P1015,Multi-Region Managed Database Rewrite,A high-impact Cloud effort focused on shipping production-grade infrastructure.,Cloud,1,6,11,9,"[{""role"": ""Tech Lead"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 8}]","[{""skill"": ""Cloud (GCP/AWS)"", ""min_proficiency"": 4, ""weight"": 0.7}, {""skill"": ""Kubernetes"", ""min_proficiency"": 4, ""weight"": 0.94}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 0.61}, {""skill"": ""Go"", ""min_proficiency"": 4, ""weight"": 1.0}]","[""C++""]",14,2026-09-21,completed,9,[]
P1016,Next-Gen Notification Service,A high-impact Android effort focused on shipping production-grade infrastructure.,Android,5,10,13,11,"[{""role"": ""Tech Lead"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 10}]","[{""skill"": ""Android"", ""min_proficiency"": 3, ""weight"": 1.03}, {""skill"": ""Java"", ""min_proficiency"": 4, ""weight"": 0.95}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 4, ""weight"": 0.92}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 4, ""weight"": 0.84}]","[""Java""]",19,2026-07-09,completed,4,[]
P1017,On-Device Model Serving Stack,A high-impact AI Platform effort focused on shipping production-grade infrastructure.,AI Platform,3,5,10,10,"[{""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 10}]","[{""skill"": ""Machine Learning"", ""min_proficiency"": 4, ""weight"": 0.97}, {""skill"": ""TensorFlow/PyTorch"", ""min_proficiency"": 4, ""weight"": 0.6}, {""skill"": ""Python"", ""min_proficiency"": 3, ""weight"": 0.9}, {""skill"": ""Data Engineering"", ""min_proficiency"": 3, ""weight"": 1.03}]","[""Distributed Systems"", ""Java""]",52,2026-07-23,completed,3,[]
P1018,Cross-Platform Collaboration Engine Rewrite,A high-impact Workspace effort focused on shipping production-grade infrastructure.,Workspace,4,10,15,14,"[{""role"": ""Tech Lead"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 12}]","[{""skill"": ""Frontend"", ""min_proficiency"": 3, ""weight"": 0.66}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 4, ""weight"": 1.05}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 1.06}]","[""Cloud (GCP/AWS)""]",17,2026-10-03,completed,7,[]
P1019,Next-Gen Sync Service,A high-impact Chrome effort focused on shipping production-grade infrastructure.,Chrome,5,3,7,7,"[{""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 7}]","[{""skill"": ""C++"", ""min_proficiency"": 3, ""weight"": 0.65}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 4, ""weight"": 0.8}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 4, ""weight"": 0.92}, {""skill"": ""Frontend"", ""min_proficiency"": 3, ""weight"": 0.61}, {""skill"": ""Security"", ""min_proficiency"": 3, ""weight"": 0.93}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 0.91}]","[""Product Sense"", ""Java"", ""Data Engineering"", ""Frontend""]",15,2026-08-20,completed,2,[]
P1020,Cross-Platform Checkout Flow,A high-impact Payments effort focused on shipping production-grade infrastructure.,Payments,1,10,15,14,"[{""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 14}]","[{""skill"": ""Security"", ""min_proficiency"": 4, ""weight"": 0.89}, {""skill"": ""Databases"", ""min_proficiency"": 3, ""weight"": 0.92}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 0.8}, {""skill"": ""Java"", ""min_proficiency"": 3, ""weight"": 0.62}]","[""Distributed Systems""]",26,2026-09-06,completed,2,[]
P1021,On-Device DevTools Backend,A high-impact Chrome effort focused on shipping production-grade infrastructure.,Chrome,5,7,11,10,"[{""role"": ""Tech Lead"", ""min_level"": ""L7"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 8}]","[{""skill"": ""C++"", ""min_proficiency"": 4, ""weight"": 1.18}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 3, ""weight"": 1.18}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 0.83}, {""skill"": ""Frontend"", ""min_proficiency"": 3, ""weight"": 1.07}, {""skill"": ""Security"", ""min_proficiency"": 4, ""weight"": 0.96}]","[""Kubernetes"", ""Cloud (GCP/AWS)"", ""SRE/Observability"", ""Python""]",32,2026-10-08,completed,9,[]
P1022,Generative Rendering Engine Rewrite,A high-impact Chrome effort focused on shipping production-grade infrastructure.,Chrome,3,3,7,7,"[{""role"": ""Tech Lead"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 6}]","[{""skill"": ""C++"", ""min_proficiency"": 4, ""weight"": 1.14}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 3, ""weight"": 0.83}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 0.89}, {""skill"": ""Frontend"", ""min_proficiency"": 3, ""weight"": 0.73}]","[""Distributed Systems"", ""BigQuery"", ""Machine Learning""]",52,2026-10-01,completed,7,[]
P1023,Real-Time Attribution Engine,A high-impact Ads effort focused on shipping production-grade infrastructure.,Ads,5,10,13,11,"[{""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 11}]","[{""skill"": ""Machine Learning"", ""min_proficiency"": 3, ""weight"": 1.04}, {""skill"": ""BigQuery"", ""min_proficiency"": 3, ""weight"": 1.09}, {""skill"": ""Data Engineering"", ""min_proficiency"": 4, ""weight"": 1.11}]","[""Go"", ""Cloud (GCP/AWS)"", ""SRE/Observability""]",31,2026-10-03,completed,10,[]
P1024,Cross-Platform Fraud Detection,A high-impact Payments effort focused on shipping production-grade infrastructure.,Payments,3,8,13,9,"[{""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 9}]","[{""skill"": ""Security"", ""min_proficiency"": 3, ""weight"": 0.6}, {""skill"": ""Databases"", ""min_proficiency"": 3, ""weight"": 1.09}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 1.15}, {""skill"": ""Java"", ""min_proficiency"": 4, ""weight"": 0.76}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 0.89}]","[""Data Engineering"", ""Databases"", ""TensorFlow/PyTorch"", ""Performance Optimization""]",15,2026-07-15,completed,3,[]
P1025,Generative Build System v2,A high-impact Infra effort focused on shipping production-grade infrastructure.,Infra,4,7,10,8,"[{""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 8}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 0.69}, {""skill"": ""Kubernetes"", ""min_proficiency"": 3, ""weight"": 1.06}, {""skill"": ""SRE/Observability"", ""min_proficiency"": 4, ""weight"": 0.7}, {""skill"": ""Go"", ""min_proficiency"": 4, ""weight"": 0.61}, {""skill"": ""C++"", ""min_proficiency"": 4, ""weight"": 1.07}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 4, ""weight"": 1.06}]","[""Frontend"", ""JavaScript/TypeScript"", ""Java"", ""Android""]",12,2026-08-23,completed,2,[]
P1026,Streaming Retrieval Stack Rewrite,A high-impact Search effort focused on shipping production-grade infrastructure.,Search,4,5,8,8,"[{""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 8}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 0.66}, {""skill"": ""C++"", ""min_proficiency"": 4, ""weight"": 0.78}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 0.92}, {""skill"": ""Databases"", ""min_proficiency"": 3, ""weight"": 1.13}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 1.09}, {""skill"": ""Machine Learning"", ""min_proficiency"": 4, ""weight"": 0.9}]","[""Cloud (GCP/AWS)"", ""Java""]",18,2026-09-08,completed,3,[]
P1027,Privacy-First Feature Store,A high-impact AI Platform effort focused on shipping production-grade infrastructure.,AI Platform,3,8,13,12,"[{""role"": ""Tech Lead"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 11}]","[{""skill"": ""Machine Learning"", ""min_proficiency"": 4, ""weight"": 0.68}, {""skill"": ""TensorFlow/PyTorch"", ""min_proficiency"": 4, ""weight"": 0.99}, {""skill"": ""Python"", ""min_proficiency"": 4, ""weight"": 1.01}, {""skill"": ""Data Engineering"", ""min_proficiency"": 3, ""weight"": 0.89}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 1.12}]","[""SRE/Observability"", ""Backend APIs"", ""JavaScript/TypeScript"", ""Android""]",46,2026-07-14,completed,5,[]
P1028,Generative Routing Engine Rewrite,A high-impact Maps effort focused on shipping production-grade infrastructure.,Maps,4,10,14,14,"[{""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 14}]","[{""skill"": ""C++"", ""min_proficiency"": 3, ""weight"": 0.71}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 1.07}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 0.76}]","[""SRE/Observability"", ""Machine Learning""]",44,2026-08-20,completed,13,[]
P1029,On-Device Attribution Engine v2,A high-impact Ads effort focused on shipping production-grade infrastructure.,Ads,3,9,13,11,"[{""role"": ""Tech Lead"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 9}]","[{""skill"": ""Machine Learning"", ""min_proficiency"": 4, ""weight"": 1.03}, {""skill"": ""BigQuery"", ""min_proficiency"": 4, ""weight"": 0.75}, {""skill"": ""Data Engineering"", ""min_proficiency"": 4, ""weight"": 1.11}, {""skill"": ""Backend APIs"", ""min_proficiency"": 3, ""weight"": 0.74}, {""skill"": ""Java"", ""min_proficiency"": 4, ""weight"": 0.69}, {""skill"": ""Product Sense"", ""min_proficiency"": 3, ""weight"": 0.89}]","[""Distributed Systems"", ""Java""]",19,2026-07-20,completed,4,[]
P1030,Multi-Region Storage Layer v2,A high-impact Infra effort focused on shipping production-grade infrastructure.,Infra,1,3,6,6,"[{""role"": ""Tech Lead"", ""min_level"": ""L7"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 5}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 1.07}, {""skill"": ""Kubernetes"", ""min_proficiency"": 3, ""weight"": 0.97}, {""skill"": ""SRE/Observability"", ""min_proficiency"": 4, ""weight"": 0.67}]","[""Java"", ""Android""]",19,2026-07-11,completed,5,[]
P1031,Unified Sharing Layer,A high-impact Workspace effort focused on shipping production-grade infrastructure.,Workspace,1,5,10,6,"[{""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 6}]","[{""skill"": ""Frontend"", ""min_proficiency"": 4, ""weight"": 0.71}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 4, ""weight"": 0.76}, {""skill"": ""Backend APIs"", ""min_proficiency"": 3, ""weight"": 0.64}, {""skill"": ""Databases"", ""min_proficiency"": 3, ""weight"": 1.12}, {""skill"": ""Product Sense"", ""min_proficiency"": 4, ""weight"": 0.88}, {""skill"": ""Security"", ""min_proficiency"": 3, ""weight"": 1.15}]","[""Java"", ""TensorFlow/PyTorch"", ""Python"", ""Product Sense""]",26,2026-09-10,completed,3,[]
P1032,Streaming Notification Service,A high-impact Android effort focused on shipping production-grade infrastructure.,Android,2,8,12,9,"[{""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 9}]","[{""skill"": ""Android"", ""min_proficiency"": 4, ""weight"": 0.86}, {""skill"": ""Java"", ""min_proficiency"": 3, ""weight"": 1.15}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 3, ""weight"": 0.92}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 1.04}]","[""Android"", ""Databases""]",28,2026-07-11,completed,5,[]
P1033,Zero-Trust Sharing Layer Rewrite,A high-impact Workspace effort focused on shipping production-grade infrastructure.,Workspace,2,4,8,5,"[{""role"": ""Tech Lead"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 3}]","[{""skill"": ""Frontend"", ""min_proficiency"": 4, ""weight"": 1.18}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 4, ""weight"": 0.64}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 1.03}]","[""Distributed Systems"", ""Frontend"", ""Product Sense""]",43,2026-09-18,completed,4,[]
P1034,Next-Gen Training Orchestrator,A high-impact AI Platform effort focused on shipping production-grade infrastructure.,AI Platform,2,9,13,13,"[{""role"": ""Tech Lead"", ""min_level"": ""L7"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 12}]","[{""skill"": ""Machine Learning"", ""min_proficiency"": 3, ""weight"": 0.85}, {""skill"": ""TensorFlow/PyTorch"", ""min_proficiency"": 4, ""weight"": 1.2}, {""skill"": ""Python"", ""min_proficiency"": 4, ""weight"": 1.11}]","[""C++""]",44,2026-10-13,completed,4,[]
P1035,Distributed Collaboration Engine,A high-impact Workspace effort focused on shipping production-grade infrastructure.,Workspace,1,4,7,4,"[{""role"": ""Tech Lead"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 3}]","[{""skill"": ""Frontend"", ""min_proficiency"": 3, ""weight"": 0.7}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 3, ""weight"": 0.81}, {""skill"": ""Backend APIs"", ""min_proficiency"": 3, ""weight"": 0.75}]","[""Android"", ""Go""]",10,2026-07-17,completed,3,[]
P1036,Distributed DevTools Backend v2,A high-impact Chrome effort focused on shipping production-grade infrastructure.,Chrome,3,7,10,7,"[{""role"": ""Tech Lead"", ""min_level"": ""L7"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 5}]","[{""skill"": ""C++"", ""min_proficiency"": 4, ""weight"": 1.02}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 3, ""weight"": 0.97}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 0.72}, {""skill"": ""Frontend"", ""min_proficiency"": 3, ""weight"": 0.78}, {""skill"": ""Security"", ""min_proficiency"": 3, ""weight"": 0.84}]","[""Python"", ""Databases""]",9,2026-08-11,completed,6,[]
P1037,Unified Routing Engine v2,A high-impact Maps effort focused on shipping production-grade infrastructure.,Maps,2,3,6,5,"[{""role"": ""Tech Lead"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 3}]","[{""skill"": ""C++"", ""min_proficiency"": 3, ""weight"": 0.67}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 1.18}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 4, ""weight"": 0.72}, {""skill"": ""Machine Learning"", ""min_proficiency"": 4, ""weight"": 0.88}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 0.77}]","[""Product Sense"", ""Kubernetes""]",49,2026-07-09,completed,3,[]
P1038,On-Device Build System v2,A high-impact Infra effort focused on shipping production-grade infrastructure.,Infra,3,3,8,4,"[{""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 4}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 0.68}, {""skill"": ""Kubernetes"", ""min_proficiency"": 4, ""weight"": 1.11}, {""skill"": ""SRE/Observability"", ""min_proficiency"": 4, ""weight"": 0.88}, {""skill"": ""Go"", ""min_proficiency"": 3, ""weight"": 1.0}]","[""JavaScript/TypeScript""]",52,2026-07-01,completed,4,[]
